,keff,keff_err,p
131,0.999966,4.28825e-05,0.067
132,0.998578,4.23017e-05,-0.476
133,0.999902,4.27609e-05,0.005
134,0.998514,4.2466e-05,-0.489
135,1.00036,4.29488e-05,0.265
136,0.999164,4.22523e-05,-0.264
137,1.00017,4.26595e-05,0.166
138,1.00068,4.28716e-05,0.473
139,0.998758,4.30648e-05,-0.418
140,0.999526,4.29459e-05,-0.094
141,0.998825,4.24053e-05,-0.422
142,0.999445,4.29528e-05,-0.174
143,1.00059,4.26124e-05,0.408
144,1.00052,4.22593e-05,0.349
145,1.00003,4.2968e-05,0.119
146,0.999885,4.23142e-05,0.09
147,0.999035,4.25735e-05,-0.325
148,0.999576,4.32192e-05,-0.125
149,1.00059,4.29699e-05,0.374
150,0.998733,4.25328e-05,-0.453
151,0.998613,4.27578e-05,-0.487
152,0.999096,4.3633e-05,-0.291
153,1.00048,4.23914e-05,0.294
154,0.999387,4.24943e-05,-0.11
155,0.999931,4.33156e-05,0.055
156,1.0003,4.30732e-05,0.229
157,1.00074,4.28224e-05,0.477
158,0.999663,4.31224e-05,-0.064
159,1.00063,4.32069e-05,0.411
160,0.999787,4.33151e-05,0.012
161,0.999629,4.29062e-05,-0.045
162,0.999721,4.24882e-05,-0.04
163,1.00043,4.34627e-05,0.304
164,0.999134,4.26691e-05,-0.298
165,0.999908,4.33022e-05,0.078
166,1.00059,4.25654e-05,0.352
167,0.998743,4.35114e-05,-0.425
168,1.00063,4.29744e-05,0.417
169,1.00054,4.31731e-05,0.379
170,1.00065,4.27048e-05,0.409
171,0.99959,4.28101e-05,-0.105
172,1.00049,4.28082e-05,0.322
173,0.999922,4.31506e-05,0.039
174,1.00009,4.2734e-05,0.143
175,1.00009,4.29775e-05,0.156
176,0.999927,4.36578e-05,0.109
177,1.00036,4.31731e-05,0.267
178,1.00053,4.26295e-05,0.396
179,1.0003,4.23665e-05,0.28
180,1.00049,4.31801e-05,0.326
181,1.00052,4.1623e-05,0.311
182,1.0005,4.31125e-05,0.329
183,1.00033,4.31547e-05,0.209
184,0.999291,4.30124e-05,-0.237
185,0.999483,4.36153e-05,-0.148
186,0.998669,4.28059e-05,-0.483
187,1.00069,4.33988e-05,0.483
188,0.999958,4.3613e-05,0.129
189,0.999651,4.27403e-05,-0.067
190,1.0004,4.32611e-05,0.302
191,1.00015,4.35846e-05,0.174
192,0.998793,4.28554e-05,-0.43
193,0.998971,4.35958e-05,-0.344
194,0.999245,4.32938e-05,-0.242
195,1.00002,4.29989e-05,0.102
196,0.998787,4.25856e-05,-0.427
197,0.99969,4.2892e-05,-0.063
198,0.998599,4.30231e-05,-0.488
199,0.999708,4.26682e-05,-0.021
200,0.999578,4.41962e-05,-0.082
201,1.00008,4.32178e-05,0.14
202,0.999084,4.22502e-05,-0.303
203,1.00028,4.27127e-05,0.241
204,0.999591,4.22179e-05,-0.099
205,1.00052,4.3278e-05,0.342
206,1.00006,4.30875e-05,0.127
207,1.00067,4.31859e-05,0.441
208,1.00049,4.20534e-05,0.362
209,0.99937,4.29378e-05,-0.151
210,1.0004,4.28311e-05,0.271
211,0.998751,4.2366e-05,-0.417
212,0.999821,4.18317e-05,-0.042
213,0.99999,4.31717e-05,0.108
214,1.00025,4.27299e-05,0.223
215,0.999671,4.37178e-05,-0.059
216,0.998784,4.25448e-05,-0.412
217,0.99978,4.34589e-05,-0.003
218,0.998913,4.25944e-05,-0.402
219,0.998992,4.2987e-05,-0.327
220,0.999005,4.35769e-05,-0.351
221,1.00047,4.32767e-05,0.348
222,0.999368,4.30252e-05,-0.169
223,0.998727,4.29482e-05,-0.419
224,0.999169,4.38561e-05,-0.262
225,0.999653,4.32312e-05,-0.075
226,0.998993,4.27196e-05,-0.301
227,0.999571,4.33157e-05,-0.112
228,1.00067,4.30279e-05,0.436
229,1.00035,4.30076e-05,0.282
230,0.999244,4.3007e-05,-0.232
231,0.999604,4.249e-05,-0.097
232,0.99934,4.31436e-05,-0.216
233,0.999938,4.31384e-05,0.106
234,0.999985,4.24246e-05,0.101
235,1.0008,4.23469e-05,0.475
236,1.00029,4.26881e-05,0.272
237,0.999935,4.28472e-05,0.048
238,1.00023,4.3007e-05,0.212
239,0.999119,4.22912e-05,-0.28
240,1.00045,4.30294e-05,0.335
241,0.9986,4.33259e-05,-0.498
242,0.999867,4.41851e-05,0.054
243,0.999836,4.2912e-05,0.028
244,0.999279,4.31605e-05,-0.266
245,0.998805,4.29076e-05,-0.414
246,1.00083,4.27411e-05,0.452
247,1.00066,4.27691e-05,0.479
248,1.00068,4.21583e-05,0.445
249,1.00033,4.36377e-05,0.255
250,0.999884,4.29195e-05,0.021
251,0.99981,4.23695e-05,0.013
252,0.998908,4.34755e-05,-0.371
253,0.999116,4.33589e-05,-0.286
254,0.999756,4.22124e-05,0.007
255,1.00012,4.25393e-05,0.191
256,1.00061,4.36067e-05,0.426
257,1.00073,4.3786e-05,0.467
258,0.999786,4.36262e-05,-0.018
259,1.00026,4.29995e-05,0.226
260,1.0006,4.31065e-05,0.383
261,1.00018,4.31648e-05,0.176
262,0.999719,4.27078e-05,-0.012
263,0.99901,4.26838e-05,-0.32
264,0.999062,4.31654e-05,-0.338
265,0.999238,4.25118e-05,-0.194
266,0.999726,4.27068e-05,-0.001
267,0.999247,4.31938e-05,-0.229
268,1.00028,4.31014e-05,0.237
269,1.0005,4.26547e-05,0.317
